state,district,pvi,result,unopposed,swing,adj_swing,swing_string,adj_swing_string
AL,1,15,26.379849721989807,FALSE,11.379849721989807,19.634261095500882,R+11,R+20
AL,2,16,22.962471820713432,FALSE,6.962471820713432,15.216883194224508,R+7,R+15
AL,3,16,27.49886811978527,FALSE,11.498868119785271,19.753279493296347,R+11,R+20
AL,4,30,59.64566673449684,FALSE,29.645666734496842,37.90007810800792,R+30,R+38
AL,5,18,22.125421505104093,FALSE,4.125421505104093,12.379832878615169,R+4,R+12
AL,6,26,38.40720301227329,FALSE,12.407203012273293,20.661614385784368,R+12,R+21
AL,7,-20,-97.80453894260506,TRUE,-77.80453894260506,-69.55012756909399,D+78,D+70
AK,0,9,6.584776337333345,FALSE,-2.415223662666655,5.839187710844421,D+2,R+6
AZ,1,2,-7.687653379132556,FALSE,-9.687653379132556,-1.43324200562148,D+10,D+1
AZ,2,1,-9.490671489570019,FALSE,-10.490671489570019,-2.2362601160589435,D+10,D+2
AZ,3,-13,-27.730923918492863,FALSE,-14.730923918492863,-6.476512544981787,D+15,D+6
AZ,4,21,37.65625282004078,FALSE,16.656252820040777,24.910664193551852,R+17,R+25
AZ,5,15,18.849180998134564,FALSE,3.849180998134564,12.10359237164564,R+4,R+12
AZ,6,9,10.386070723846743,FALSE,1.3860707238467427,9.640482097357818,R+1,R+10
AZ,7,-23,-85.60631877077796,TRUE,-62.60631877077796,-54.351907397266885,D+63,D+54
AZ,8,13,10.927773416070721,FALSE,-2.072226583929279,6.182184789581797,D+2,R+6
AZ,9,-4,-22.17114203142645,FALSE,-18.17114203142645,-9.916730657915373,D+18,D+10
AR,1,17,40.174911177917465,FALSE,23.174911177917465,31.42932255142854,R+23,R+31
AR,2,7,6.308861998082492,FALSE,-0.6911380019175084,7.563273371593567,D+1,R+8
AR,3,19,32.11250805370297,FALSE,13.112508053702967,21.366919427214043,R+13,R+21
AR,4,17,35.509439119145696,FALSE,18.509439119145696,26.763850492656772,R+19,R+27
CA,1,11,9.773177774576979,FALSE,-1.226822225423021,7.027589148088055,D+1,R+7
CA,2,-22,-54.015909674108286,FALSE,-32.015909674108286,-23.76149830059721,D+32,D+24
CA,3,-5,-16.145893882050025,FALSE,-11.145893882050025,-2.8914825085389495,D+11,D+3
CA,4,10,8.262929541411523,FALSE,-1.7370704585884766,6.517340914922599,D+2,R+7
CA,5,-21,-78.8681240374227,TRUE,-57.8681240374227,-49.61371266391163,D+58,D+50
CA,6,-21,-100,TRUE,-79,-70.74558862648892,D+79,D+71
CA,7,-3,-10.08994485418139,FALSE,-7.08994485418139,1.164466519329686,D+7,R+1
CA,8,9,100,TRUE,91,99.25441137351108,R+91,R+99
CA,9,-8,-12.982969969566106,FALSE,-4.982969969566106,3.2714414039449693,D+5,R+3
CA,10,0,-4.502027940513749,FALSE,-4.502027940513749,3.752383432997327,D+5,R+4
CA,11,-21,-48.264842335888204,FALSE,-27.264842335888204,-19.01043096237713,D+27,D+19
CA,12,-37,-73.64636423272947,FALSE,-36.64636423272947,-28.391952859218392,D+37,D+28
CA,13,-40,-88.38103765809583,TRUE,-48.381037658095835,-40.12662628458476,D+48,D+40
CA,14,-27,-58.44511155335186,FALSE,-31.445111553351857,-23.190700179840782,D+31,D+23
CA,15,-20,-45.935087668952846,FALSE,-25.935087668952846,-17.68067629544177,D+26,D+18
CA,16,-9,-15.09034058716135,FALSE,-6.09034058716135,2.1640707863497255,D+6,R+2
CA,17,-25,-50.69472727100519,FALSE,-25.694727271005192,-17.440315897494116,D+26,D+17
CA,18,-23,-48.98325160965862,FALSE,-25.983251609658623,-17.728840236147548,D+26,D+18
CA,19,-24,-47.50974723015264,FALSE,-23.50974723015264,-15.255335856641565,D+24,D+15
CA,20,-23,-81.37346547286252,TRUE,-58.37346547286252,-50.119054099351445,D+58,D+50
CA,21,-5,-0.7586959583157267,FALSE,4.241304041684273,12.495715415195349,R+4,R+12
CA,22,8,5.444309039972303,FALSE,-2.5556909600276967,5.698720413483379,D+3,R+6
CA,23,14,27.43398096941305,FALSE,13.43398096941305,21.688392342924125,R+13,R+22
CA,24,-7,-17.11100407480197,FALSE,-10.111004074801968,-1.856592701290893,D+10,D+2
CA,25,0,-8.732277101648009,FALSE,-8.732277101648009,-0.4778657281369334,D+9,0
CA,26,-7,-23.884021203792877,FALSE,-16.884021203792877,-8.629609830281801,D+17,D+9
CA,27,-16,-100,TRUE,-84,-75.74558862648892,D+84,D+76
CA,28,-23,-56.74400439956324,FALSE,-33.74400439956324,-25.489593026052162,D+34,D+25
CA,29,-29,-61.21971401236004,FALSE,-32.21971401236004,-23.965302638848968,D+32,D+24
CA,30,-18,-46.803170966271125,FALSE,-28.803170966271125,-20.54875959276005,D+29,D+21
CA,31,-8,-17.488999706658845,FALSE,-9.488999706658845,-1.2345883331477694,D+9,D+1
CA,32,-17,-37.55669910919556,FALSE,-20.556699109195563,-12.302287735684487,D+21,D+12
CA,33,-16,-40.05689445758486,FALSE,-24.05689445758486,-15.802483084073785,D+24,D+16
CA,34,-35,-72.54157176148408,TRUE,-37.54157176148408,-29.287160387973003,D+38,D+29
CA,35,-19,-38.796435473480784,FALSE,-19.796435473480784,-11.542024099969709,D+20,D+12
CA,36,-2,-18.033119492966456,FALSE,-16.033119492966456,-7.778708119455381,D+16,D+8
CA,37,-37,-78.1510969717994,FALSE,-41.151096971799404,-32.89668559828833,D+41,D+33
CA,38,-17,-37.70355566987871,FALSE,-20.70355566987871,-12.449144296367635,D+21,D+12
CA,39,0,-3.1142463163838556,FALSE,-3.1142463163838556,5.14016505712722,D+3,R+5
CA,40,-33,-77.34769327042626,TRUE,-44.34769327042626,-36.09328189691519,D+44,D+36
CA,41,-12,-30.199461046147917,FALSE,-18.199461046147917,-9.945049672636841,D+18,D+10
CA,42,9,12.99863753169032,FALSE,3.9986375316903207,12.253048905201396,R+4,R+12
CA,43,-29,-55.3383796135719,FALSE,-26.338379613571902,-18.083968240060827,D+26,D+18
